Glottocode,language,tap,elevation
alaw1244,Alawa,1,147
amah1246,Amahuaca,1,429
amha1245,Amharic,1,3440
anta1253,Antakarinya,1,178
apin1244,Apinayé,1,229
asha1243,Asháninka,1,497
atay1247,Atayal,1,1882
awiy1238,Awiyaana,1,1917
awng1244,Awngi,1,2024
basq1248,Basque,1,362
beng1280,Bengali,4,8
cent1989,Central Khmer,1,26
chac1251,Chácobo,1,185
chiq1250,Chiquihuitlán Mazatec,1,1897
copa1236,Copainalá Zoque,1,526
east2328,Eastern Mari,1,45
egyp1253,Egyptian Arabic,1,6
ewee1241,Ewe,1,114
gali1262,Galibi Carib,1,6
garo1247,Garo,2,114
gbay1287,Gbaya-Bossangoa,2,476
haus1257,Hausa,1,600
hind1269,Hindi,1,416
igna1246,Ignaciano,1,159
iris1253,Irish,4,88
isla1278,Island Carib,1,758
iton1250,Itonama,1,169
jaqa1244,Jaqaru,1,2766
karo1304,Karok,1,676
khar1287,Kharia,2,376
kota1263,Kota (India),1,1456
kuni1267,Kunimaipa,1,1857
kwom1262,Kwoma,1,31
libe1247,Liberia Kpelle,1,285
lugb1240,Lugbara,1,1225
luis1253,Luiseno,1,742
luok1236,Luo (Kenya and Tanzania),1,1467
luva1239,Luvale,1,1078
maor1246,Maori,1,451
marg1265,Marghi Central,1,426
masa1300,Masai,1,1187
maun1240,Mawng,1,28
mezq1235,Mezquital Otomi,1,2391
mode1248,Modern Greek,1,190
moro1292,Moroccan Arabic,2,352
naas1242,Naasioi,1,1855
norw1259,Norwegian Bokmål,1,20
nucl1301,Turkish,1,1138
nucl1310,Burmese,1,711
nucl1347,Wolof,1,53
nucl1417,Igbo,2,8
nucl1632,Sentani,1,74
nucl1643,Japanese,1,127
ocai1244,Ocaina,1,114
paez1247,Páez,3,3472
panj1256,Eastern Panjabi,1,227
para1311,Paraguayan Guaraní,1,184
plat1254,Plateau Malagasy,1,1653
port1283,Portuguese,1,445
roma1327,Romanian,1,348
saba1265,Sa'ban,1,1002
sele1250,Selepet,1,759
shua1257,Shuar,1,1256
sinh1246,Sinhala,1,51
siri1273,Sirionó,1,182
soma1255,Somali,1,211
sout2982,Southeastern Pomo,1,439
sout2991,South Bolivian Quechua,1,4156
stan1288,Spanish,1,1202
sund1252,Sundanese,1,493
taba1266,Tabasco Chontal,1,3
taga1270,Tagalog,1,93
tamn1235,Tamnim Citak,1,19
telu1262,Telugu,1,440
tewa1260,Rio Grande Tewa,1,1687
thai1261,Thai,1,3
ticu1245,Ticuna,1,150
toho1245,Tohono O'odham,1,640
tzel1254,Tzeltal,1,2091
waim1255,Waimaha,1,167
wapi1253,Wapishana,1,130
wayu1243,Wayuu,2,37
west2650,Western Cham,1,35
wich1260,Wichita,1,390
yane1238,Yanesha',1,2474
